customer_id,customer_name,email,region,join_date,loyalty_points
C001,John Smith 0,user0@example.com,,2024-06-20,840.0
C002,,user1@example.com,West,invalid_date,1779.0
C003,Alice Brown 2,user2@example.com,Unknown,2024-07-05,
C004,,user3@example.com,North,invalid_date,1892.0
C005,Name with special chars !@#$%^&*(),,Unknown,2024/08/28,1825.0
C006,Alice Brown 5,user5@example.com,North,invalid_date,216.0
C007,Name with special chars !@#$%^&*(),invalid_email,South,2024-12-31,384.0
C008,David Clark 7,user7@example.com,South,2022-08-26,3483636.0
C009,Alice Brown 8,user8@example.com,Unknown,2024-07-06,493.0
C010,Alice Brown 9,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemail@example.com,East,2023-01-30,150.0
C011,Sarah Jones 10,user10@example.com,,2022-03-29,
C012,Sarah Jones 11,user11@example.com,West,2024-06-09,1690.0
C013,Michael Lee 12,user12@example.com,North,2022-06-18,1150.0
C014,Sarah Jones 13,,Unknown,2022-01-24,1745.0
C015,Alice Brown 14,user14@example.com,Unknown,2023-10-20,1204.0
C016,Sarah Jones 15,user15@example.com,South,,8579055.0
C017,Name with special chars !@#$%^&*(),longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemail@example.com,,invalid_date,510.0
C018,David Clark 17,user17@example.com,North,2024-06-02,1685.0
C019,David Clark 18,user18@example.com,,2024-05-29,612.0
C020,,user19@example.com,North,2024-10-31,1333.0
C021,Alice Brown 20,invalid_email,South,2022-09-06,202.0
C022,,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemail@example.com,North,2022-08-15,
C023,John Smith 22,,,2022-10-04,1220.0
C024,John Smith 23,user23@example.com,South,2023-09-03,-150.0
C025,Name with special chars !@#$%^&*(),,East,2022-09-16T00:00:00Z,1734.0
C026,Alice Brown 25,user25@example.com,South,2024-03-09,772.0
C027,John Smith 26,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemail@example.com,South,2022-11-18,632.0
C028,Alice Brown 27,user27@example.com,West,,4307063.0
,Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name ,invalid_email,,2022-02-13,
C030,,user29@example.com,North,,9184950.0
C031,Alice Brown 30,user30@example.com,,2024-02-09,
C032,Michael Lee 31,,,2022/01/14,432.0
C033,John Smith 32,user32@example.com,West,2023-01-25,532.0
